budget,usbox,rrating
10000000,33253609,1
25000000,33302167,0
22000000,33316821,1
15000000,33392973,1
18000000,33400000,0
70000000,33561137,0
25500000,33579798,1
130000000,33600000,0
50000000,33600000,0
10000000,33600000,0
53000000,33602376,1
33000000,33664370,1
68000000,33685268,1
55000000,33832741,0
25000000,33862903,0
25000000,33889159,0
35000000,33987757,1
33000000,34020814,1
55000000,34234008,1
155000000,34297191,1
20000000,34300000,1
20000000,34302837,1
15000000,34308901,0
20000000,34366518,1
68000000,34400000,1
5000000,34469210,1
2000000,34500000,0
75000000,34636443,1
25000000,34657731,1
30000000,34742066,0
19000000,35000000,1
14000000,35000000,0
8000000,35000000,1
100000000,35000000,1
25000000,35017297,1
33000000,35100000,0
15000000,35100000,1
32000000,35193167,1
42000000,35228696,0
39000000,35300000,0
30000000,35300000,1
60000000,35327628,0
76000000,35552383,1
20000000,35600000,1
30000000,35600000,0
25000000,35623801,1
17000000,35662731,1
120000000,35818913,0
70000000,35922978,0
1700000,35930604,1
25000000,35990505,0
80000000,36000000,0
22000000,36020063,1
60000000,36280697,0
65000000,36316032,1
25000000,36351350,0
82000000,36400000,0
60000000,36500000,0
21000000,36605602,0
20000000,36700000,0
40000000,36700000,0
20000000,36843682,1
45000000,36895141,0
30000000,36900000,1
70000000,36900000,1
26000000,36985501,0
52000000,37000000,1
60000000,37017955,0
65000000,37030102,1
12000000,37100000,0
40000000,37100000,0
28000000,37100000,1
12000000,37188667,0
16000000,37300000,0
35000000,37300000,1
6600000,37300000,0
80000000,37384046,0
26000000,37400000,1
40000000,37400000,1
50000000,37485528,0
60000000,37491364,0
69000000,37500000,1
35000000,37500000,0
20000000,37600000,1
40000000,37600000,0
35000000,37629831,0
17000000,37667746,0
42000000,37700000,0
21000000,37700000,1
70000000,37760080,0
11000000,37766350,0
35200000,37788228,0
80000000,37899638,0
32000000,37900000,0
17000000,37939782,1
85000000,37948765,0
12000000,38108728,1
100000000,38120554,0
40000000,38122883,1
13000000,38177966,0
25000000,38230435,0
175000000,38300000,0
